number,date,beans,grind (lido et ticks),coffee (g),water (g),"pressure (bar, peak-ish)",time (s),yield (g),yield (ratio),tamp pressure,rating
1,2019-12-26,mill_house_blend,4,16,93,4,32,58,3.63,kinda high,bad
2,2019-12-26,mill_house_blend,0,16,95,10,75,7,0.44,kinda high,bad
3,2019-12-26,mill_house_blend,2,16,96,7.5,76,61,3.81,kinda high,bad
4,2019-12-26,Orsons,2,16,92,10,40,12,0.75,kinda high,bad
5,2019-12-26,Orsons,3,16,89,10,150,52,3.25,kinda high,bad
6,2019-12-26,Orsons,4,16,88,10,90,53,3.31,kinda high,bad
7,2019-12-26,Orsons,5,16,87,10,65,52,3.25,kinda high,bad
8,2019-12-26,Orsons,6,16,87,9,35,51,3.19,kinda high,okay
9,2019-12-31,Orsons,6,16,72,9,?,"? pretty short, more like 25",#VALUE!,kinda high,okay
10,2019-12-31,Orsons,5,16,72,9,?,"? pretty short, more like 25",#VALUE!,kinda high,okay
11,2019-12-31,Orsons,5,16,72,9,?,"? pretty short, more like 25",#VALUE!,kinda high,good
12,2019-12-31,Orsons,5,16,72,9,?,"? pretty short, more like 25",#VALUE!,kinda high,good
13,2019-12-31,Orsons,5,16,72,9,?,"? pretty short, more like 25",#VALUE!,kinda high,good
14,2020-01-01,Orsons,5,18,80,10,90,45,2.50,kinda high,bad
15,2020-01-01,Orsons,7,18,80,7,25,47,2.61,kinda high,okay
16,2020-01-01,Orsons,6,18,80,7,35,49,2.72,kinda high,good
17,2020-01-16,Orsons,6,20,full,7,37,41,2.05,kinda high,good
18,2020-01-18,Orsons,7,20,full,4,23,42,2.10,"light, ""fingertip"" pressure",good
19,2020-01-19,Bigfoot,6,20,full,7.5,62,41,2.05,medium thumb and forefinger,good
20,2020-01-24,Bigfoot,7,20,full,7.5,41,41,2.05,medium+ (not as hard as kinda high),great
21,2020-01-24,Bigfoot,7,20,full,7.5,33,32,1.60,kinda high,great
22,2020-01-31,Bigfoot,7,20,full,10,90,27,1.35,medium thumb and forefinger,good
23,2020-01-31,Bigfoot,9,20,full,9,48,42,2.10,medium thumb and forefinger,good
24,2020-02-05,Bigfoot_Orson_blend,10,20,full,7.5,27,43,2.15,medium thumb and forefinger,
25,2020-02-05,Bigfoot_Orson_blend,10,20,full,5,25,43,2.15,medium thumb and forefinger,good
26,2020-02-08,Bigfoot_Orson_blend,10,20,full,6,23,43,2.15,,bad
27,2020-05-02,Bigfoot,9,20,full,8,39,?,#VALUE!,medium thumb and forefinger,good
28,2020-05-02,Bigfoot,9,20,full,,,42,2.10,,
29,2020-05-03,Bigfoot,9,20,full,8,35,42,2.10,,
30,many,,"9.5 ish, 10 ish",,,,44g in 21s,,#DIV/0!,,
,,,,,,,,,#DIV/0!,,
?,2020-07-23,Bigfoot,9.5,20,full,7.5,20,42,2.10,medium thumb and forefinger,great
?,2020-07-24,Mexico_Honey,9?,20,full,7.5,22,42,2.10,medium-heavy thumb and forefinger,great
?,2020-07-24,Mexico_Honey,9,20,full,5,25,42,2.10,medium-heavy thumb and forefinger,great
?,2020-07-25,Mexico_Honey,8,20,full,7.5,36,46,2.30,medium-heavy thumb and forefinger,great
?,2020-07-26,Mexico_Honey,7,18,full,7.5,41,41,2.28,medium-heavy thumb and forefinger,okay
?,2020-07-26,Mexico_Honey,8,18,full,7.5,28,47,2.61,medium-heavy thumb and forefinger,great
?,2020-07-27,Mexico_Honey,8,18,full,7.5,29,42,2.33,medium-heavy thumb and forefinger,great
?,2020-07-27,Mexico_Honey,8,18,full,7.5,27,47,2.61,medium-heavy thumb and forefinger,good
?,2020-07-28,Mexico_Honey,8,18,full,7.5,27,44,2.44,medium-heavy thumb and forefinger,good
